id,category,title,titleUpper,language,bgClass,description,amount,noOfDocuments,estimatedTime,processingTime,documentsRequired
11,E-Service,Nativity Certificate,NATIVITY CERTIFICATE,English,bg-gradient-to-br from-red-600 to-red-700 text-yellow-400,"Certifies that a person has been residing in a specific state for a minimum required period.",₹60.00,5,30 mins,10-15 Days,"Applicant Photo|Applicant Aadhar Card|Smart Card|Birth Certificate|Property Tax / EB Bill"
12,E-Service,Unemployment Certificate,UNEMPLOYMENT CERTIFICATE,English,bg-gradient-to-br from-orange-600 to-orange-700,"Issued to educated unemployed youth for government aid and special schemes.",₹60.00,4,20 mins,10 Days,"Applicant Photo|Applicant Aadhar Card|Employment Exchange ID|Educational Certificates"
13,Card Service,PAN Card Application,PAN CARD APPLICATION,English,bg-gradient-to-br from-blue-600 to-blue-800,"Apply for a new Permanent Account Number (PAN) card for financial transactions and tax purposes.",₹250.00,3,15 mins,15-20 Days,"Applicant Photo|Applicant Aadhar Card|Signature"
14,Card Service,Voter ID Registration,VOTER ID REGISTRATION,English,bg-gradient-to-br from-blue-700 to-blue-900,"Register as a new voter and obtain an Electoral Photo Identity Card (EPIC).",₹50.00,3,20 mins,30 Days,"Applicant Photo|Applicant Aadhar Card|Address Proof"
15,Card Service,Aadhaar Card Update,AADHAAR CARD UPDATE,English,bg-gradient-to-br from-yellow-500 to-yellow-600,"Update demographic or biometric details on your existing Aadhaar Card.",₹100.00,2,15 mins,7-10 Days,"Existing Aadhar Card|Valid Supporting Document for Update"
16,Card Service,Smart Card Services,SMART CARD SERVICES,English,bg-gradient-to-br from-green-500 to-green-700,"Apply for a new family Smart Card or make corrections to an existing one.",₹60.00,3,20 mins,15 Days,"Head of Family Photo|Aadhar Cards of all members|Address Proof"
17,Bank Service,Account Opening,ACCOUNT OPENING,English,bg-gradient-to-br from-teal-500 to-teal-700,"Open a new savings or current bank account quickly and securely.",₹0.00,4,30 mins,Immediate,"Applicant Photo|Applicant Aadhar Card|PAN Card|Initial Deposit Amount"
18,Bank Service,Money Transfer,MONEY TRANSFER,English,bg-gradient-to-br from-indigo-500 to-indigo-700,"Securely transfer money to any bank account across the country.",Varies,2,10 mins,Immediate,"Sender Aadhar/ID|Recipient Account Details"
19,Bank Service,Loan Application,LOAN APPLICATION,English,bg-gradient-to-br from-red-500 to-red-700,"Apply for personal, agricultural, or business loans with competitive rates.",₹500.00,6,45 mins,15-30 Days,"Applicant Photo|Applicant Aadhar Card|PAN Card|Income Proof / IT Returns|Bank Statements|Property Documents (if applicable)"
20,Bank Service,Cash Withdrawal,CASH WITHDRAWAL,English,bg-gradient-to-br from-gray-700 to-gray-900,"Withdraw cash easily using Micro-ATM and AePS services.",₹0.00,2,5 mins,Immediate,"Aadhar Card linked to Bank|Biometric Authentication"
